date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
2020-09-26,1216545,2nd innings,143,0,33,5.3,0,0,0,Nan,Shubman Gill,0,KK Ahmed,KD Karthik,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,34,5.4,4,0,0,Nan,Shubman Gill,4,KK Ahmed,KD Karthik,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,35,5.5,4,0,0,Nan,Shubman Gill,4,KK Ahmed,KD Karthik,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,36,5.6,1,0,0,Nan,Shubman Gill,1,KK Ahmed,KD Karthik,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,37,6.1,1,0,0,Nan,Shubman Gill,1,Rashid Khan,KD Karthik,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,3,38,6.2,0,0,0,Nan,KD Karthik,0,Rashid Khan,Shubman Gill,0,True,leg before wicket,KD Karthik,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,39,6.3,0,0,0,Nan,EJG Morgan,0,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,40,6.4,0,0,0,Nan,EJG Morgan,0,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,41,6.5,1,0,0,Nan,EJG Morgan,1,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,42,6.6,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,43,7.1,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,44,7.2,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,45,7.3,0,0,0,Nan,Shubman Gill,0,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,46,7.4,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,47,7.5,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,48,7.6,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,49,8.1,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,50,8.2,0,0,0,Nan,EJG Morgan,0,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,51,8.3,0,0,0,Nan,EJG Morgan,0,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,52,8.4,4,0,0,Nan,EJG Morgan,4,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,53,8.5,1,0,0,Nan,EJG Morgan,1,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,54,8.6,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,55,9.1,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,56,9.2,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,57,9.3,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,58,9.4,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,59,9.5,0,0,0,Nan,Shubman Gill,0,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,60,9.6,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,61,10.1,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,62,10.2,1,0,0,Nan,EJG Morgan,1,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,63,10.3,0,0,0,Nan,Shubman Gill,0,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,64,10.4,4,0,0,Nan,Shubman Gill,4,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,65,10.5,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,66,10.6,1,0,0,Nan,EJG Morgan,1,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,66,11.0,2,2,2,Nan,EJG Morgan,2,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,67,11.1,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,68,11.2,1,0,1,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,69,11.3,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,70,11.4,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,71,11.5,2,0,0,Nan,Shubman Gill,2,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,72,11.6,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,73,12.1,1,0,0,Nan,Shubman Gill,1,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,74,12.2,1,0,0,Nan,EJG Morgan,1,T Natarajan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,75,12.3,4,0,0,Nan,Shubman Gill,4,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,76,12.4,1,0,0,Nan,Shubman Gill,1,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,77,12.5,1,0,0,Nan,EJG Morgan,1,T Natarajan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,78,12.6,0,0,0,Nan,Shubman Gill,0,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,79,13.1,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,80,13.2,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,81,13.3,0,0,0,Nan,EJG Morgan,0,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,81,13.3,1,1,1,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,82,13.4,1,0,0,Nan,EJG Morgan,1,M Nabi,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,83,13.5,0,0,0,Nan,Shubman Gill,0,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,84,13.6,1,0,0,Nan,Shubman Gill,1,M Nabi,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,85,14.1,0,0,0,Nan,Shubman Gill,0,P Kumar,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,86,14.2,1,0,0,Nan,Shubman Gill,1,P Kumar,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,87,14.3,1,0,0,Nan,EJG Morgan,1,P Kumar,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,88,14.4,2,0,0,Nan,Shubman Gill,2,P Kumar,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,89,14.5,1,0,0,Nan,Shubman Gill,1,P Kumar,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,90,14.6,6,0,0,Nan,EJG Morgan,6,P Kumar,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,91,15.1,0,0,0,Nan,Shubman Gill,0,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,92,15.2,0,0,0,Nan,Shubman Gill,0,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,93,15.3,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,94,15.4,1,0,0,Nan,EJG Morgan,1,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,95,15.5,1,0,0,Nan,Shubman Gill,1,Rashid Khan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,96,15.6,4,0,0,Nan,EJG Morgan,4,Rashid Khan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,97,16.1,6,0,0,Nan,Shubman Gill,6,Abhishek Sharma,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,98,16.2,1,0,0,Nan,Shubman Gill,1,Abhishek Sharma,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,99,16.3,1,0,0,Nan,EJG Morgan,1,Abhishek Sharma,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,100,16.4,1,0,0,Nan,Shubman Gill,1,Abhishek Sharma,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,101,16.5,1,0,0,Nan,EJG Morgan,1,Abhishek Sharma,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,102,16.6,1,0,0,Nan,Shubman Gill,1,Abhishek Sharma,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,103,17.1,1,0,0,Nan,Shubman Gill,1,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,104,17.2,1,0,0,Nan,EJG Morgan,1,T Natarajan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,105,17.3,0,0,0,Nan,Shubman Gill,0,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,105,17.3,1,1,1,Nan,Shubman Gill,1,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,106,17.4,1,0,0,Nan,Shubman Gill,1,T Natarajan,EJG Morgan,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,107,17.5,6,0,0,Nan,EJG Morgan,6,T Natarajan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-26,1216545,2nd innings,143,0,108,17.6,4,0,0,Nan,EJG Morgan,4,T Natarajan,Shubman Gill,0,False,,,Kolkata Knight Riders,Sunrisers Hyderabad
2020-09-27,1216527,1st innings,0,0,1,0.1,1,0,0,Nan,KL Rahul,1,JD Unadkat,MA Agarwal,1,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,2,0.2,0,0,0,Nan,MA Agarwal,0,JD Unadkat,KL Rahul,1,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,3,0.3,1,0,0,Nan,MA Agarwal,1,JD Unadkat,KL Rahul,2,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,4,0.4,0,0,0,Nan,KL Rahul,0,JD Unadkat,MA Agarwal,2,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,5,0.5,1,0,0,Nan,KL Rahul,1,JD Unadkat,MA Agarwal,3,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,6,0.6,0,0,0,Nan,MA Agarwal,0,JD Unadkat,KL Rahul,3,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,7,1.1,0,0,0,Nan,KL Rahul,0,AS Rajpoot,MA Agarwal,3,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,8,1.2,1,0,0,Nan,KL Rahul,1,AS Rajpoot,MA Agarwal,4,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,9,1.3,6,0,0,Nan,MA Agarwal,6,AS Rajpoot,KL Rahul,10,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,10,1.4,0,0,0,Nan,MA Agarwal,0,AS Rajpoot,KL Rahul,10,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,11,1.5,0,0,0,Nan,MA Agarwal,0,AS Rajpoot,KL Rahul,10,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,12,1.6,1,0,0,Nan,MA Agarwal,1,AS Rajpoot,KL Rahul,11,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,13,2.1,4,0,0,Nan,MA Agarwal,4,JD Unadkat,KL Rahul,15,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,14,2.2,1,0,0,Nan,MA Agarwal,1,JD Unadkat,KL Rahul,16,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,15,2.3,2,0,0,Nan,KL Rahul,2,JD Unadkat,MA Agarwal,18,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,16,2.4,1,0,0,Nan,KL Rahul,1,JD Unadkat,MA Agarwal,19,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,16,2.4,3,3,3,Nan,MA Agarwal,3,JD Unadkat,KL Rahul,22,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,17,2.5,6,0,0,Nan,MA Agarwal,6,JD Unadkat,KL Rahul,28,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,18,2.6,0,0,0,Nan,MA Agarwal,0,JD Unadkat,KL Rahul,28,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,19,3.1,4,0,0,Nan,KL Rahul,4,JC Archer,MA Agarwal,32,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,20,3.2,4,0,0,Nan,KL Rahul,4,JC Archer,MA Agarwal,36,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,21,3.3,4,0,0,Nan,KL Rahul,4,JC Archer,MA Agarwal,40,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,22,3.4,0,0,0,Nan,KL Rahul,0,JC Archer,MA Agarwal,40,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,23,3.5,0,0,0,Nan,KL Rahul,0,JC Archer,MA Agarwal,40,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,24,3.6,1,0,0,Nan,KL Rahul,1,JC Archer,MA Agarwal,41,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,25,4.1,1,0,0,Nan,KL Rahul,1,AS Rajpoot,MA Agarwal,42,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,26,4.2,4,0,0,Nan,MA Agarwal,4,AS Rajpoot,KL Rahul,46,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,27,4.3,4,0,0,Nan,MA Agarwal,4,AS Rajpoot,KL Rahul,50,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,28,4.4,1,0,0,Nan,MA Agarwal,1,AS Rajpoot,KL Rahul,51,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,29,4.5,1,0,0,Nan,KL Rahul,1,AS Rajpoot,MA Agarwal,52,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,29,4.5,1,1,2,Nan,MA Agarwal,1,AS Rajpoot,KL Rahul,54,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,30,4.6,4,0,0,Nan,KL Rahul,4,AS Rajpoot,MA Agarwal,58,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,31,5.1,0,0,0,Nan,MA Agarwal,0,JC Archer,KL Rahul,58,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,32,5.2,0,0,0,Nan,MA Agarwal,0,JC Archer,KL Rahul,58,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,33,5.3,1,0,0,Nan,MA Agarwal,1,JC Archer,KL Rahul,59,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,34,5.4,0,0,0,Nan,KL Rahul,0,JC Archer,MA Agarwal,59,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,35,5.5,1,0,0,Nan,KL Rahul,1,JC Archer,MA Agarwal,60,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,36,5.6,0,0,0,Nan,MA Agarwal,0,JC Archer,KL Rahul,60,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,37,6.1,2,0,0,Nan,KL Rahul,2,S Gopal,MA Agarwal,62,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,38,6.2,1,0,0,Nan,KL Rahul,1,S Gopal,MA Agarwal,63,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,39,6.3,1,0,0,Nan,MA Agarwal,1,S Gopal,KL Rahul,64,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,40,6.4,1,0,0,Nan,KL Rahul,1,S Gopal,MA Agarwal,65,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,41,6.5,1,0,0,Nan,MA Agarwal,1,S Gopal,KL Rahul,66,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,42,6.6,1,0,0,Nan,KL Rahul,1,S Gopal,MA Agarwal,67,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,43,7.1,1,0,0,Nan,KL Rahul,1,KL Rahul,MA Agarwal,68,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,44,7.2,6,0,0,Nan,MA Agarwal,6,KL Rahul,KL Rahul,74,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,45,7.3,6,0,0,Nan,MA Agarwal,6,KL Rahul,KL Rahul,80,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,46,7.4,4,0,0,Nan,MA Agarwal,4,KL Rahul,KL Rahul,84,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,47,7.5,1,0,0,Nan,MA Agarwal,1,KL Rahul,KL Rahul,85,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,48,7.6,1,0,0,Nan,KL Rahul,1,KL Rahul,MA Agarwal,86,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,49,8.1,1,0,0,Nan,KL Rahul,1,S Gopal,MA Agarwal,87,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,50,8.2,6,0,0,Nan,MA Agarwal,6,S Gopal,KL Rahul,93,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,51,8.3,2,0,0,Nan,MA Agarwal,2,S Gopal,KL Rahul,95,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,52,8.4,6,0,0,Nan,MA Agarwal,6,S Gopal,KL Rahul,101,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,53,8.5,1,0,0,Nan,MA Agarwal,1,S Gopal,KL Rahul,102,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,54,8.6,0,0,0,Nan,KL Rahul,0,S Gopal,MA Agarwal,102,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,55,9.1,1,0,0,Nan,MA Agarwal,1,TK Curran,KL Rahul,103,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,56,9.2,1,0,0,Nan,KL Rahul,1,TK Curran,MA Agarwal,104,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,57,9.3,4,0,0,Nan,MA Agarwal,4,TK Curran,KL Rahul,108,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,58,9.4,0,0,0,Nan,MA Agarwal,0,TK Curran,KL Rahul,108,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,59,9.5,1,0,0,Nan,MA Agarwal,1,TK Curran,KL Rahul,109,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,60,9.6,1,0,0,Nan,KL Rahul,1,TK Curran,MA Agarwal,110,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,61,10.1,1,0,0,Nan,KL Rahul,1,JD Unadkat,MA Agarwal,111,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,62,10.2,4,0,0,Nan,MA Agarwal,4,JD Unadkat,KL Rahul,115,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,63,10.3,1,0,0,Nan,MA Agarwal,1,JD Unadkat,KL Rahul,116,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,64,10.4,0,0,0,Nan,KL Rahul,0,JD Unadkat,MA Agarwal,116,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,65,10.5,1,0,0,Nan,KL Rahul,1,JD Unadkat,MA Agarwal,117,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,65,10.5,1,1,1,Nan,MA Agarwal,1,JD Unadkat,KL Rahul,118,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,66,10.6,2,0,0,Nan,MA Agarwal,2,JD Unadkat,KL Rahul,120,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,67,11.1,6,0,0,Nan,KL Rahul,6,TK Curran,MA Agarwal,126,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,68,11.2,1,0,0,Nan,KL Rahul,1,TK Curran,MA Agarwal,127,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,69,11.3,1,0,0,Nan,MA Agarwal,1,TK Curran,KL Rahul,128,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,70,11.4,4,0,0,Nan,KL Rahul,4,TK Curran,MA Agarwal,132,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,70,11.4,1,1,1,Nan,KL Rahul,1,TK Curran,MA Agarwal,133,False,,,Kings XI Punjab,Rajasthan Royals
2020-09-27,1216527,1st innings,0,0,71,11.5,1,0,0,Nan,KL Rahul,1,TK Curran,MA Agarwal,134,False,,,Kings XI Punjab,Rajasthan Royals
